File,Sketch,Time-tree_bmc,Size-tree_bmc
f:08-nw:200-ml:10-0.trace,"->(?1,U(p,q))",63.92,5
f:09-nw:200-ml:10-0.trace,"?u1(->(q,?u1(p)))",20.67,5
f:08-nw:100-ml:06-0.trace,"->(?1,?b1(p,q))",12.04,5
f:09-nw:200-ml:14-0.trace,"?u1(->(q,?1))",119.33,4
f:05-nw:025-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",4.91,7
f:09-nw:050-ml:10-0.trace,"?u1(->(q,?1))",5.72,4
f:03-nw:010-ml:06-0.trace,"?u1(->(q,?1))",1.05,4
f:01-nw:400-ml:14-0.trace,?u1(!(?1)),134.64,3
f:06-nw:010-ml:14-0.trace,"G(&(p,?b1(!(q),?1)))",1.79,7
f:04-nw:400-ml:06-0.trace,?u1(?1),47.35,2
f:01-nw:010-ml:06-0.trace,G(!(?1)),0.16,3
f:03-nw:400-ml:14-0.trace,"G(->(q,?1))",582.23,4
f:03-nw:025-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",1.6,6
f:04-nw:010-ml:14-0.trace,F(?1),0.23,2
f:06-nw:025-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",6.65,13
f:06-nw:400-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",71.79,10
f:05-nw:010-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",2.3,9
f:07-nw:025-ml:14-0.trace,G(?1),0.78,2
f:07-nw:400-ml:06-0.trace,?u1(p),6.24,2
f:02-nw:400-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",69.85,7
f:02-nw:025-ml:06-0.trace,"->(?1,U(!(p),q))",2.03,6
f:04-nw:025-ml:10-0.trace,F(?1),0.51,2
f:06-nw:010-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",1.9,13
f:01-nw:400-ml:10-0.trace,?u1(!(p)),12.25,3
f:09-nw:050-ml:14-0.trace,"?u1(->(q,?u1(p)))",7.73,5
f:08-nw:050-ml:14-0.trace,"->(?1,U(p,q))",13.6,5
f:05-nw:025-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",3.94,9
f:07-nw:010-ml:10-0.trace,G(?1),0.18,2
f:02-nw:400-ml:10-0.trace,"->(?1,?b1(!(p),q))",176.27,6
f:05-nw:010-ml:10-0.trace,"?b1(?1,F(&(p,F(q))))",1.2,7
f:06-nw:025-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",25.74,7
f:09-nw:100-ml:14-0.trace,"?u1(->(q,?1))",43.12,4
f:08-nw:100-ml:10-0.trace,"->(?1,U(p,q))",22.86,5
f:09-nw:100-ml:10-0.trace,"?u1(->(q,?u1(p)))",10.67,5
f:08-nw:200-ml:06-0.trace,"->(?1,?b1(p,q))",31.91,5
f:02-nw:400-ml:06-0.trace,"->(?1,U(!(p),q))",66.24,6
f:02-nw:025-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",5.01,7
f:07-nw:025-ml:06-0.trace,?u1(p),0.43,2
f:07-nw:400-ml:14-0.trace,G(?1),119.01,2
f:05-nw:010-ml:06-0.trace,"|(?1,F(&(p,F(q))))",0.93,7
f:06-nw:025-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",1.44,10
f:06-nw:400-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",103.28,13
f:04-nw:010-ml:06-0.trace,?u1(p),0.22,2
f:03-nw:400-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",24.27,6
f:03-nw:025-ml:14-0.trace,"G(->(q,?1))",13.65,4
f:01-nw:010-ml:14-0.trace,?u1(!(p)),0.47,3
f:04-nw:025-ml:06-0.trace,?u1(?1),0.64,2
f:01-nw:025-ml:14-0.trace,?u1(!(?1)),1.54,3
f:02-nw:010-ml:14-0.trace,"->(?1,?b1(!(p),q))",2.81,6
f:05-nw:400-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",438.67,7
f:07-nw:010-ml:06-0.trace,?u1(?1),0.23,2
f:01-nw:010-ml:10-0.trace,?u1(!(?1)),0.39,3
f:06-nw:400-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",636.7,7
f:02-nw:025-ml:10-0.trace,"->(?1,?b1(!(p),q))",4.85,6
f:05-nw:400-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",60.04,9
f:08-nw:050-ml:06-0.trace,"?b1(F(q),?b2(p,q))",3.69,6
f:02-nw:010-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",1.37,7
f:03-nw:010-ml:10-0.trace,"G(->(q,?1))",1.32,4
f:09-nw:050-ml:06-0.trace,"G(->(q,?1))",3.66,4
f:01-nw:025-ml:10-0.trace,?u1(!(p)),0.78,3
f:04-nw:400-ml:10-0.trace,F(?1),69.37,2
f:06-nw:100-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",112.95,7
f:01-nw:200-ml:14-0.trace,?u1(!(?1)),36.4,3
f:04-nw:200-ml:06-0.trace,?u1(?1),13.33,2
f:05-nw:100-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",15.68,9
f:03-nw:200-ml:14-0.trace,"G(->(q,?1))",190.18,4
f:06-nw:200-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",23.93,10
f:07-nw:200-ml:06-0.trace,?u1(p),2.9,2
f:02-nw:200-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",40.99,7
f:04-nw:100-ml:10-0.trace,F(?1),4.73,2
f:02-nw:100-ml:06-0.trace,"->(?1,U(!(p),q))",10.76,6
f:01-nw:200-ml:10-0.trace,?u1(!(p)),5.8,3
f:07-nw:100-ml:14-0.trace,G(?1),8.03,2
f:06-nw:100-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",26.7,13
f:03-nw:100-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",6.12,6
f:02-nw:200-ml:10-0.trace,"->(?1,?b1(!(p),q))",71.95,6
f:05-nw:100-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",35.91,7
f:05-nw:050-ml:06-0.trace,"|(?1,F(&(p,F(q))))",5.06,7
f:08-nw:400-ml:10-0.trace,"->(?1,U(p,q))",167.7,5
f:01-nw:050-ml:14-0.trace,?u1(!(p)),2.14,3
f:09-nw:400-ml:10-0.trace,"?u1(->(q,?u1(p)))",41.24,5
f:04-nw:050-ml:06-0.trace,?u1(p),0.84,2
f:07-nw:050-ml:06-0.trace,?u1(?1),1.52,2
f:02-nw:050-ml:14-0.trace,"->(?1,?b1(!(p),q))",16.59,6
f:09-nw:400-ml:14-0.trace,"?u1(->(q,?1))",416.74,4
f:01-nw:050-ml:10-0.trace,?u1(!(?1)),2.49,3
f:08-nw:025-ml:06-0.trace,"->(?1,?b1(p,q))",2.47,5
f:08-nw:010-ml:06-0.trace,"?b1(F(q),?b2(p,q))",0.8,6
f:02-nw:050-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",6.87,7
f:03-nw:050-ml:10-0.trace,"G(->(q,?1))",19.87,4
f:09-nw:010-ml:06-0.trace,"G(->(q,?1))",0.27,4
f:02-nw:200-ml:06-0.trace,"->(?1,U(!(p),q))",26.87,6
f:07-nw:200-ml:14-0.trace,G(?1),29.94,2
f:01-nw:100-ml:10-0.trace,?u1(!(p)),3.04,3
