File,Sketch,Time-tree,Size-tree
f:02-nw:200-ml:10-0.trace,"->(?1,?b1(!(p),q))",89.94,6
f:06-nw:010-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",15.33,7
f:09-nw:025-ml:06-0.trace,"G(->(q,?1))",1.83,4
f:04-nw:200-ml:10-0.trace,?u1(p),6.75,2
f:06-nw:050-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",14.02,13
f:08-nw:100-ml:06-0.trace,"->(?1,U(p,q))",11.79,5
f:02-nw:010-ml:10-0.trace,"->(?1,U(!(p),q))",2.2,6
f:06-nw:200-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",71.83,10
f:09-nw:400-ml:14-0.trace,"?u1(->(q,?u1(p)))",86.44,5
f:04-nw:050-ml:10-0.trace,F(?1),1.53,2
f:08-nw:400-ml:06-0.trace,"->(?1,?b1(p,q))",79.32,5
f:09-nw:050-ml:14-0.trace,"G(->(q,?1))",7.93,4
f:04-nw:400-ml:10-0.trace,?u1(p),13.27,2
f:01-nw:025-ml:10-0.trace,?u1(!(p)),0.94,3
f:06-nw:100-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",177.31,7
f:08-nw:200-ml:06-0.trace,"->(?1,?b1(p,q))",36.36,5
f:09-nw:200-ml:14-0.trace,"?u1(->(q,?u1(p)))",42.83,5
f:03-nw:025-ml:10-0.trace,"G(->(q,?1))",13.87,4
f:06-nw:400-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",216.1,10
f:08-nw:010-ml:06-0.trace,"->(?1,U(p,q))",1.02,5
f:02-nw:100-ml:10-0.trace,"->(?1,U(!(p),q))",29.99,6
f:02-nw:400-ml:10-0.trace,"->(?1,?b1(!(p),q))",197.29,6
f:07-nw:025-ml:10-0.trace,?u1(?1),1.12,2
f:04-nw:050-ml:06-0.trace,?u1(p),0.91,2
f:07-nw:200-ml:14-0.trace,?u1(?1),38.09,2
f:03-nw:010-ml:14-0.trace,"?u1(->(q,?1))",3.42,4
f:05-nw:050-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",21.2,7
f:06-nw:200-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",26.79,13
f:08-nw:100-ml:10-0.trace,"?b1(F(q),?b2(p,q))",23.25,6
f:02-nw:010-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",0.88,7
f:06-nw:050-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",3.98,10
f:04-nw:200-ml:06-0.trace,F(?1),11.8,2
f:07-nw:010-ml:14-0.trace,G(?1),0.32,2
f:03-nw:200-ml:14-0.trace,"G(->(q,?1))",310.69,4
f:09-nw:025-ml:10-0.trace,"?u1(->(q,?u1(p)))",3.47,5
f:01-nw:050-ml:14-0.trace,G(!(?1)),3.15,3
f:05-nw:010-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",5.57,9
f:02-nw:050-ml:06-0.trace,"->(?1,?b1(!(p),q))",7.04,6
f:01-nw:200-ml:14-0.trace,?u1(!(p)),12.2,3
f:04-nw:010-ml:06-0.trace,?u1(?1),0.26,2
f:03-nw:050-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",11.74,6
f:03-nw:100-ml:14-0.trace,"?u1(->(q,?1))",120.55,4
f:08-nw:010-ml:10-0.trace,"?b1(F(q),?b2(p,q))",2.62,6
f:02-nw:100-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",9.77,7
f:06-nw:025-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",8.62,10
f:03-nw:400-ml:14-0.trace,"G(->(q,?1))",753.61,4
f:05-nw:025-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",2.08,7
f:01-nw:400-ml:14-0.trace,?u1(!(p)),22.91,3
f:04-nw:025-ml:14-0.trace,?u1(p),1.32,2
f:03-nw:025-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",1.82,6
f:06-nw:400-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",50.7,13
f:07-nw:100-ml:14-0.trace,G(?1),8.96,2
f:07-nw:400-ml:14-0.trace,?u1(?1),134.61,2
f:02-nw:025-ml:14-0.trace,"->(?1,?b1(!(p),q))",12.64,6
f:04-nw:400-ml:06-0.trace,F(?1),43.72,2
f:01-nw:025-ml:06-0.trace,G(!(?1)),0.42,3
f:08-nw:050-ml:10-0.trace,"->(?1,?b1(p,q))",15.09,5
f:05-nw:100-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",53.66,9
f:04-nw:100-ml:06-0.trace,?u1(?1),4.3,2
f:03-nw:010-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",0.86,6
f:09-nw:100-ml:10-0.trace,"?u1(->(q,?u1(p)))",13.33,5
f:07-nw:200-ml:06-0.trace,?u1(p),3.44,2
f:04-nw:050-ml:14-0.trace,?u1(?1),4.36,2
f:02-nw:010-ml:14-0.trace,"->(?1,?b1(!(p),q))",4.73,6
