Sample file,Num positive words,Num of negative words,Algorithm-type,Running time,Sketch,Completed Sketch,Starting formula,Final Size,Checked?
final_benchmark/f:09-nw:050-ml:06-0.trace,50,50,naive-sat,1.76,"?u1(->(q,?u1(p)))","G(->(q,G(p)))","G(->(q,G(p)))",5,True
final_benchmark/f:03-nw:010-ml:10-0.trace,10,10,naive-sat,0.87,"?u1(->(q,?u1(!(p))))","G(->(q,G(!(p))))","G(->(q,G(!(p))))",6,True
final_benchmark/f:04-nw:400-ml:10-0.trace,400,400,naive-sat,13.79,?u1(p),F(p),F(p),2,True
final_benchmark/f:05-nw:100-ml:10-0.trace,100,100,naive-sat,606.68,"|(?1,F(&(p,F(q))))","|(&(q,!(q)),F(&(p,F(q))))","|(G(!(p)),F(&(p,F(q))))",8,True
final_benchmark/f:02-nw:200-ml:14-0.trace,200,200,naive-sat,900,"->(?1,U(!(p),q))",,"->(F(q),U(!(p),q))",
final_benchmark/f:07-nw:200-ml:06-0.trace,200,200,naive-sat,900,G(?1),,G(p),
final_benchmark/f:01-nw:200-ml:10-0.trace,200,200,naive-sat,900,G(!(?1)),,G(!(p)),
final_benchmark/f:06-nw:025-ml:06-0.trace,25,25,naive-sat,1.7,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))","G(&(p,|(!(q),->(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),&(r,!(q))))))",9,True
final_benchmark/f:03-nw:025-ml:14-0.trace,25,25,naive-sat,3.21,"?u1(->(q,?u1(!(p))))","G(->(q,G(!(p))))","G(->(q,G(!(p))))",6,True
final_benchmark/f:03-nw:100-ml:06-0.trace,100,100,naive-sat,363.32,"G(->(q,?1))","G(->(q,&(q,!(F(p)))))","G(->(q,G(!(p))))",7,True
final_benchmark/f:02-nw:400-ml:06-0.trace,400,400,naive-sat,22.66,"?b1(F(q),?b2(!(p),q))","->(F(q),U(!(p),q))","->(F(q),U(!(p),q))",6,True
final_benchmark/f:06-nw:100-ml:14-0.trace,100,100,naive-sat,900,"G(&(p,->(!(q),U(!(q),?1))))",,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",
final_benchmark/f:05-nw:010-ml:06-0.trace,10,10,naive-sat,0.76,"?b1(G(!(p)),F(?b2(p,F(q))))","|(G(!(p)),F(&(p,F(q))))","|(G(!(p)),F(&(p,F(q))))",8,True
final_benchmark/f:07-nw:400-ml:14-0.trace,400,400,naive-sat,22.22,?u1(p),G(p),G(p),2,True
final_benchmark/f:04-nw:050-ml:06-0.trace,50,50,naive-sat,900,F(?1),,F(p),
final_benchmark/f:09-nw:400-ml:10-0.trace,400,400,naive-sat,900,"G(->(q,?1))",,"G(->(q,G(p)))",
final_benchmark/f:08-nw:100-ml:10-0.trace,100,100,naive-sat,13.48,"?b1(F(q),?b2(p,q))","->(F(q),&(p,q))","->(F(q),U(p,q))",5,True
final_benchmark/f:01-nw:050-ml:14-0.trace,50,50,naive-sat,900,G(!(?1)),,G(!(p)),
final_benchmark/f:02-nw:050-ml:10-0.trace,50,50,naive-sat,900,"->(?1,U(!(p),q))",,"->(F(q),U(!(p),q))",
final_benchmark/f:08-nw:010-ml:06-0.trace,10,10,naive-sat,900,"->(?1,U(p,q))",,"->(F(q),U(p,q))",
final_benchmark/f:08-nw:050-ml:14-0.trace,50,50,naive-sat,13.26,"?b1(F(q),?b2(p,q))","->(F(q),&(p,q))","->(F(q),U(p,q))",5,True
final_benchmark/f:01-nw:100-ml:10-0.trace,100,100,naive-sat,900,G(!(?1)),,G(!(p)),
final_benchmark/f:07-nw:010-ml:10-0.trace,10,10,naive-sat,0.44,?u1(p),G(p),G(p),2,True
final_benchmark/f:03-nw:200-ml:06-0.trace,200,200,naive-sat,900,"G(->(q,?1))",,"G(->(q,G(!(p))))",
final_benchmark/f:04-nw:025-ml:10-0.trace,25,25,naive-sat,0.83,?u1(p),F(p),F(p),2,True
final_benchmark/f:06-nw:200-ml:14-0.trace,200,200,naive-sat,900,"G(&(p,->(!(q),U(!(q),?1))))",,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",
final_benchmark/f:07-nw:025-ml:14-0.trace,25,25,naive-sat,1.37,?u1(p),G(p),G(p),2,True
final_benchmark/f:02-nw:025-ml:06-0.trace,25,25,naive-sat,1.44,"?b1(F(q),?b2(!(p),q))","->(F(q),&(!(p),q))","->(F(q),U(!(p),q))",6,True
final_benchmark/f:05-nw:200-ml:10-0.trace,200,200,naive-sat,900,"|(?1,F(&(p,F(q))))",,"|(G(!(p)),F(&(p,F(q))))",
final_benchmark/f:03-nw:400-ml:14-0.trace,400,400,naive-sat,49.32,"?u1(->(q,?u1(!(p))))","G(->(q,G(!(p))))","G(->(q,G(!(p))))",6,True
final_benchmark/f:01-nw:010-ml:06-0.trace,10,10,naive-sat,0.22,?u1(!(p)),G(!(p)),G(!(p)),3,True
final_benchmark/f:02-nw:100-ml:14-0.trace,100,100,naive-sat,900,"->(?1,U(!(p),q))",,"->(F(q),U(!(p),q))",
final_benchmark/f:06-nw:400-ml:06-0.trace,400,400,naive-sat,28.6,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),&(r,!(q))))))",9,True
final_benchmark/f:07-nw:100-ml:06-0.trace,100,100,naive-sat,900,G(?1),,G(p),
final_benchmark/f:04-nw:010-ml:14-0.trace,10,10,naive-sat,0.55,?u1(p),F(p),F(p),2,True
final_benchmark/f:09-nw:025-ml:10-0.trace,25,25,naive-sat,900,"G(->(q,?1))",,"G(->(q,G(p)))",
final_benchmark/f:05-nw:050-ml:14-0.trace,50,50,naive-sat,365.19,"|(?1,F(&(p,F(q))))","|(G(p),F(&(p,F(q))))","|(G(!(p)),F(&(p,F(q))))",7,True
final_benchmark/f:06-nw:050-ml:10-0.trace,50,50,naive-sat,900,"G(&(p,->(!(q),U(!(q),?1))))",,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",
final_benchmark/f:09-nw:010-ml:14-0.trace,10,10,naive-sat,179.13,"G(->(q,?1))","G(->(q,&(q,G(p))))","G(->(q,G(p)))",6,True
final_benchmark/f:08-nw:200-ml:10-0.trace,200,200,naive-sat,27.51,"?b1(F(q),?b2(p,q))","->(F(q),U(p,q))","->(F(q),U(p,q))",5,True
final_benchmark/f:07-nw:050-ml:10-0.trace,50,50,naive-sat,1.74,?u1(p),G(p),G(p),2,True
final_benchmark/f:08-nw:010-ml:14-0.trace,10,10,naive-sat,2.44,"?b1(F(q),?b2(p,q))","->(F(q),&(p,q))","->(F(q),U(p,q))",5,True
final_benchmark/f:09-nw:200-ml:10-0.trace,200,200,naive-sat,900,"G(->(q,?1))",,"G(->(q,G(p)))",
final_benchmark/f:08-nw:025-ml:10-0.trace,25,25,naive-sat,3.63,"?b1(F(q),?b2(p,q))","->(F(q),U(p,q))","->(F(q),U(p,q))",5,True
final_benchmark/f:04-nw:050-ml:14-0.trace,50,50,naive-sat,2.65,?u1(p),F(p),F(p),2,True
final_benchmark/f:01-nw:050-ml:06-0.trace,50,50,naive-sat,1.12,?u1(!(p)),G(!(p)),G(!(p)),3,True
final_benchmark/f:06-nw:025-ml:14-0.trace,25,25,naive-sat,900,"G(&(p,->(!(q),U(!(q),?1))))",,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",
final_benchmark/f:03-nw:025-ml:06-0.trace,25,25,naive-sat,110.42,"G(->(q,?1))","G(->(q,&(q,!(F(p)))))","G(->(q,G(!(p))))",7,True
final_benchmark/f:04-nw:200-ml:10-0.trace,200,200,naive-sat,6.99,?u1(p),F(p),F(p),2,True
final_benchmark/f:02-nw:400-ml:14-0.trace,400,400,naive-sat,900,"->(?1,U(!(p),q))",,"->(F(q),U(!(p),q))",
final_benchmark/f:03-nw:100-ml:14-0.trace,100,100,naive-sat,12.39,"?u1(->(q,?u1(!(p))))","G(->(q,G(!(p))))","G(->(q,G(!(p))))",6,True
final_benchmark/f:07-nw:400-ml:06-0.trace,400,400,naive-sat,900,G(?1),,G(p),
final_benchmark/f:06-nw:100-ml:06-0.trace,100,100,naive-sat,7.61,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),&(r,!(q))))))",9,True
final_benchmark/f:05-nw:010-ml:14-0.trace,10,10,naive-sat,17.11,"|(?1,F(&(p,F(q))))","|(G(p),F(&(p,F(q))))","|(G(!(p)),F(&(p,F(q))))",7,True
final_benchmark/f:09-nw:050-ml:14-0.trace,50,50,naive-sat,900,"G(->(q,?1))",,"G(->(q,G(p)))",
final_benchmark/f:01-nw:400-ml:10-0.trace,400,400,naive-sat,900,G(!(?1)),,G(!(p)),
final_benchmark/f:06-nw:010-ml:10-0.trace,10,10,naive-sat,900,"G(&(p,->(!(q),U(!(q),?1))))",,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",
final_benchmark/f:02-nw:200-ml:06-0.trace,200,200,naive-sat,11.24,"?b1(F(q),?b2(!(p),q))","->(F(q),U(!(p),q))","->(F(q),U(!(p),q))",6,True
final_benchmark/f:05-nw:025-ml:10-0.trace,25,25,naive-sat,62.66,"|(?1,F(&(p,F(q))))","|(&(p,!(p)),F(&(p,F(q))))","|(G(!(p)),F(&(p,F(q))))",8,True
final_benchmark/f:07-nw:200-ml:14-0.trace,200,200,naive-sat,10.85,?u1(p),G(p),G(p),2,True
final_benchmark/f:09-nw:010-ml:06-0.trace,10,10,naive-sat,0.4,"?u1(->(q,?u1(p)))","G(->(q,G(p)))","G(->(q,G(p)))",5,True
final_benchmark/f:03-nw:050-ml:10-0.trace,50,50,naive-sat,3.84,"?u1(->(q,?u1(!(p))))","G(->(q,G(!(p))))","G(->(q,G(!(p))))",6,True
final_benchmark/f:05-nw:050-ml:06-0.trace,50,50,naive-sat,3.74,"?b1(G(!(p)),F(?b2(p,F(q))))","|(G(!(p)),F(&(p,F(q))))","|(G(!(p)),F(&(p,F(q))))",8,True
final_benchmark/f:08-nw:400-ml:10-0.trace,400,400,naive-sat,52.96,"?b1(F(q),?b2(p,q))","->(F(q),U(p,q))","->(F(q),U(p,q))",5,True
final_benchmark/f:09-nw:100-ml:10-0.trace,100,100,naive-sat,900,"G(->(q,?1))",,"G(->(q,G(p)))",
final_benchmark/f:07-nw:025-ml:06-0.trace,25,25,naive-sat,900,G(?1),,G(p),
final_benchmark/f:02-nw:025-ml:14-0.trace,25,25,naive-sat,900,"->(?1,U(!(p),q))",,"->(F(q),U(!(p),q))",
final_benchmark/f:01-nw:010-ml:14-0.trace,10,10,naive-sat,900,G(!(?1)),,G(!(p)),
final_benchmark/f:02-nw:100-ml:06-0.trace,100,100,naive-sat,5.64,"?b1(F(q),?b2(!(p),q))","->(F(q),&(!(p),q))","->(F(q),U(!(p),q))",6,True
final_benchmark/f:03-nw:400-ml:06-0.trace,400,400,naive-sat,900,"G(->(q,?1))",,"G(->(q,G(!(p))))",
final_benchmark/f:07-nw:100-ml:14-0.trace,100,100,naive-sat,5.51,?u1(p),G(p),G(p),2,True
final_benchmark/f:04-nw:010-ml:06-0.trace,10,10,naive-sat,900,F(?1),,F(p),
final_benchmark/f:06-nw:400-ml:14-0.trace,400,400,naive-sat,900,"G(&(p,->(!(q),U(!(q),?1))))",,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",
