File,Sketch,Time-tree_suf_bmc,Size-tree_suf_bmc
f:03-nw:200-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",16.38,6
f:05-nw:050-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",14.62,9
f:05-nw:025-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",6.40,9
f:05-nw:010-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",0.83,9
f:06-nw:010-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",0.88,10
f:04-nw:100-ml:14-0.trace,F(?1),6.44,2
f:09-nw:200-ml:06-0.trace,"G(->(q,?1))",17.01,4
f:05-nw:400-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",372.02,9
f:04-nw:010-ml:14-0.trace,?u1(p),0.42,2
f:04-nw:400-ml:06-0.trace,?u1(p),16.90,2
f:08-nw:200-ml:14-0.trace,"->(?1,U(p,q))",109.28,5
f:06-nw:100-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",24.20,13
f:07-nw:400-ml:10-0.trace,G(?1),38.73,2
f:05-nw:100-ml:06-0.trace,"|(?1,F(&(p,F(q))))",7.66,7
f:07-nw:025-ml:10-0.trace,G(?1),0.32,2
f:07-nw:050-ml:10-0.trace,G(?1),0.76,2
f:04-nw:050-ml:06-0.trace,?u1(p),0.58,2
f:04-nw:025-ml:06-0.trace,?u1(p),0.31,2
f:02-nw:200-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",109.12,7
f:08-nw:010-ml:06-0.trace,"->(?1,U(p,q))",0.62,5
f:09-nw:100-ml:14-0.trace,"?u1(->(q,?u1(p)))",31.76,5
f:07-nw:200-ml:10-0.trace,G(?1),9.20,2
f:08-nw:400-ml:14-0.trace,"->(?1,U(p,q))",300.05,5
f:02-nw:050-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",13.10,7
f:02-nw:025-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",5.82,7
f:04-nw:200-ml:06-0.trace,?u1(p),4.61,2
f:01-nw:010-ml:10-0.trace,G(!(?1)),0.16,3
f:02-nw:010-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",0.56,7
f:02-nw:400-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",287.77,7
f:08-nw:050-ml:14-0.trace,"->(?1,U(p,q))",12.80,5
f:08-nw:025-ml:14-0.trace,"->(?1,U(p,q))",5.37,5
f:03-nw:100-ml:14-0.trace,"G(->(q,?1))",64.33,4
f:03-nw:010-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",1.50,6
f:02-nw:100-ml:06-0.trace,"->(?1,U(!(p),q))",6.12,6
f:01-nw:100-ml:10-0.trace,?u1(!(p)),4.02,3
f:09-nw:050-ml:06-0.trace,"G(->(q,?1))",2.64,4
f:03-nw:400-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",52.25,6
f:09-nw:025-ml:06-0.trace,"G(->(q,?1))",1.28,4
f:09-nw:010-ml:14-0.trace,"G(->(q,?1))",0.66,4
f:05-nw:200-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",114.69,9
f:03-nw:050-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",2.49,6
f:09-nw:400-ml:06-0.trace,"G(->(q,?1))",56.19,4
f:03-nw:025-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",1.19,6
f:08-nw:100-ml:06-0.trace,"?b1(F(q),?b2(p,q))",6.22,6
f:01-nw:400-ml:14-0.trace,G(!(?1)),97.11,3
f:01-nw:010-ml:06-0.trace,G(!(?1)),0.10,3
f:02-nw:010-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",1.38,7
f:07-nw:200-ml:06-0.trace,G(?1),3.95,2
f:01-nw:025-ml:14-0.trace,G(!(?1)),0.69,3
f:01-nw:050-ml:14-0.trace,G(!(?1)),1.88,3
f:04-nw:200-ml:10-0.trace,?u1(p),12.22,2
f:08-nw:010-ml:10-0.trace,"->(?1,U(p,q))",1.27,5
